,Year,Week,station_id,TempMax_C,TempMin_C,Rain_mm,Average_snow_deepth_10years,SnowAvgDepth_cm_roll3
0,2014,1,71032,4.714285714285714,-2.0,40.6,,
7,2014,2,71032,2.6571428571428575,-1.6857142857142857,8.0,,
14,2014,3,71032,-1.0285714285714287,-4.114285714285715,4.2,,
21,2014,4,71032,-1.3142857142857143,-4.357142857142857,0.4,,
28,2014,5,71032,-1.6857142857142857,-5.185714285714285,3.0,,
35,2014,6,71032,-1.8714285714285717,-5.414285714285714,3.5999999999999996,,
42,2014,7,71032,1.2571428571428573,-4.5,3.4,,
49,2014,8,71032,-0.8285714285714286,-3.6666666666666665,28.0,,
56,2014,9,71032,2.2,-4.628571428571428,0.0,,
63,2014,10,71032,1.5142857142857142,-7.042857142857143,0.6000000000000001,,
70,2014,11,71032,2.371428571428571,-4.257142857142857,19.4,,
77,2014,12,71032,3.957142857142857,-2.957142857142857,15.0,,
84,2014,13,71032,0.8142857142857143,-5.457142857142857,9.4,,
91,2014,14,71032,3.957142857142857,-1.4000000000000001,48.8,,
98,2014,15,71032,4.3,-2.0,0.0,,
105,2015,1,71032,7.528571428571429,-2.1285714285714286,6.0,,
112,2015,2,71032,2.1571428571428575,-2.971428571428571,53.0,,
119,2015,3,71032,6.7,-0.9571428571428571,1.4,,
126,2015,4,71032,2.242857142857143,-5.0,0.0,,
133,2015,5,71032,0.27142857142857146,-5.042857142857143,1.5999999999999999,,
140,2015,6,71032,-1.8714285714285714,-7.671428571428572,8.6,,
147,2015,7,71032,-0.7999999999999999,-3.9285714285714284,3.6,,
154,2015,8,71032,-0.4142857142857143,-4.371428571428572,22.0,,
161,2015,9,71032,-2.0142857142857142,-6.8428571428571425,2.8000000000000003,,
168,2015,10,71032,0.28571428571428586,-4.742857142857143,1.6,,
175,2015,11,71032,2.1428571428571432,-3.228571428571428,18.8,,
182,2015,12,71032,0.18571428571428572,-3.9857142857142853,28.8,,
189,2015,13,71032,1.0571428571428572,-3.9857142857142853,11.0,,
196,2015,14,71032,5.7,-2.314285714285714,1.2,,
203,2015,15,71032,2.3,1.9,8.8,,
210,2016,1,71032,3.742857142857143,-1.4428571428571428,57.6,,
217,2016,2,71032,2.685714285714286,-0.5,57.8,,
224,2016,3,71032,-2.6142857142857143,-5.985714285714286,1.4,,
231,2016,4,71032,1.5142857142857145,-3.814285714285714,3.4,,
238,2016,5,71032,-0.4142857142857142,-2.8857142857142857,44.2,,
245,2016,6,71032,4.414285714285714,-2.514285714285714,13.6,,
252,2016,7,71032,-0.057142857142857086,-4.128571428571429,95.6,,
259,2016,8,71032,-0.11428571428571425,-3.9714285714285715,8.0,,
266,2016,9,71032,1.0142857142857142,-6.057142857142857,20.6,,
273,2016,10,71032,2.0714285714285716,-3.3714285714285714,3.4,,
280,2016,11,71032,0.2285714285714286,-3.357142857142857,19.2,,
287,2016,12,71032,0.7285714285714285,-4.5,91.0,,
294,2016,13,71032,5.057142857142857,-1.342857142857143,33.0,,
301,2016,14,71032,4.671428571428572,-0.14285714285714288,65.6,,
308,2016,15,71032,-0.2,-3.5,17.4,,
315,2017,1,71032,5.3428571428571425,-1.3,1.4,,
322,2017,2,71032,6.557142857142857,-1.385714285714286,0.0,,
329,2017,3,71032,-0.2571428571428572,-4.728571428571429,0.2,,
336,2017,4,71032,0.5428571428571429,-4.928571428571429,21.8,,
343,2017,5,71032,-2.0142857142857142,-6.3999999999999995,1.4000000000000001,,
350,2017,6,71032,-1.4428571428571428,-4.683333333333334,13.200000000000001,,
357,2017,7,71032,-0.5571428571428572,-4.714285714285714,13.2,,
364,2017,8,71032,0.8571428571428571,-4.8,9.2,,
371,2017,9,71032,-0.5142857142857143,-4.5285714285714285,1.2000000000000002,,
378,2017,10,71032,0.7,-1.7857142857142858,89.60000000000001,,
385,2017,11,71032,-1.842857142857143,-6.171428571428571,5.0,,
392,2017,12,71032,-0.6571428571428573,-7.571428571428571,3.2,,
399,2017,13,71032,0.4142857142857143,-4.571428571428571,0.0,,
406,2017,14,71032,1.6285714285714286,-3.2285714285714286,3.8000000000000003,,
413,2017,15,71032,0.1,-6.1,1.6,,
420,2018,1,71032,0.3714285714285715,-2.914285714285714,55.2,,
427,2018,2,71032,-1.5857142857142856,-5.785714285714286,19.2,,
