Station,Season,Total Snowfall (inches),Snowfall Days,Average Base Depth (inches),Max Base Depth (inches),Biggest Snowfall (inches),Total Snowfall (cm),Average Base Depth (cm),Max Base Depth (cm),Biggest Snowfall (cm)
71075,2014-2015,104,14,49,66,28,264.16,124.46,167.64,71.12
71075,2015-2016,79,29,35,58,12,200.66,88.9,147.32,30.48
71075,2016-2017,144,26,46,62,19,365.76,116.84,157.48,48.26
71075,2017-2018,78,23,49,94,16,198.12,124.46,238.76,40.64
71075,2018-2019,88,22,52,88,12,223.52,132.08,223.52,30.48
71075,2019-2020,67,12,50,89,13,170.18,127,226.06,33.02
71075,2020-2021,11,3,,,6,27.94,,,15.24
71075,2021-2022,94,23,,,20,238.76,,,50.8
71075,2022-2023,98,29,29,35,12,248.92,73.66,88.9,30.48
71075,2023-2024,83,25,20,24,12,210.82,50.8,60.96,30.48
71075,2024-2025,55,20,11,24,10,139.7,27.94,60.96,25.4
71075,2025-To Date,31,10,20,20,8,78.74,50.8,50.8,20.32
71032,2014-2015,75,14,52,66,20,190.5,132.08,167.64000000000001,50.8
71032,2015-2016,63,27,34,58,12,160.02,86.36,147.32,30.48
71032,2016-2017,119,17,44,71,28,302.26,111.76,180.34,71.12
71032,2017-2018,98,21,44,94,28,248.92000000000002,111.76,238.76,71.12
71032,2018-2019,78,18,57,88,13,198.12,144.78,223.52,33.02
71032,2019-2020,80,15,38,55,24,203.2,96.52,139.7,60.96
71032,2020-2021,10,4,4,4,6,25.4,10.16,10.16,15.24
71032,2021-2022,93,17,,,16,236.22,,,40.64
71032,2022-2023,84,26,27,33,11,213.36,68.58,83.82000000000001,27.94
71032,2023-2024,65,24,16,20,14,165.1,40.64,50.8,35.56
71032,2024-2025,52,16,14,20,13,132.08,35.56,50.8,33.02
71032,2025-To Date,14,7,19,22,4,35.56,48.26,55.88,10.16
72161,2014-2015,52,12,25,33,14,132.08,63.5,83.82000000000001,35.56
72161,2015-2016,43,20,9,18,8,109.22,22.86,45.72,20.32
72161,2016-2017,54,16,15,24,8,137.16,38.1,60.96,20.32
72161,2017-2018,64,14,5,10,16,162.56,12.7,25.4,40.64
72161,2018-2019,33,12,24,52,10,83.82000000000001,60.96,132.08,25.4
72161,2019-2020,31,9,22,39,11,78.74,55.88,99.06,27.94
72161,2023-2024,11,12,,,2,27.94,,,5.08
72161,2024-2025,11,6,,,4,27.94,,,10.16
72161,2025-To Date,2,1,9,9,2,5.08,22.86,22.86,5.08
