Station,Date,Day,Average_snow_deepth_10years
83024,9-Jun,9-Jun,6
83024,10-Jun,10-Jun,11.9
83024,11-Jun,11-Jun,16.9
83024,12-Jun,12-Jun,23.2
83024,13-Jun,13-Jun,22.3
83024,14-Jun,14-Jun,24.2
83024,15-Jun,15-Jun,25.2
83024,16-Jun,16-Jun,24.3
83024,17-Jun,17-Jun,23.2
83024,18-Jun,18-Jun,23.8
83024,19-Jun,19-Jun,23.2
83024,20-Jun,20-Jun,24.3
83024,21-Jun,21-Jun,22.5
83024,22-Jun,22-Jun,28.3
83024,23-Jun,23-Jun,29.8
83024,24-Jun,24-Jun,35.2
83024,25-Jun,25-Jun,36.5
83024,26-Jun,26-Jun,37.4
83024,27-Jun,27-Jun,43.3
83024,28-Jun,28-Jun,44
83024,29-Jun,29-Jun,43.8
83024,30-Jun,30-Jun,45.3
83024,1-Jul,1-Jul,46.5
83024,2-Jul,2-Jul,48.7
83024,3-Jul,3-Jul,50.1
83024,4-Jul,4-Jul,52.4
83024,5-Jul,5-Jul,55.1
83024,6-Jul,6-Jul,61.4
83024,7-Jul,7-Jul,64.7
83024,8-Jul,8-Jul,68.9
83024,9-Jul,9-Jul,71
83024,10-Jul,10-Jul,72.2
83024,11-Jul,11-Jul,70.9
83024,12-Jul,12-Jul,71.6
83024,13-Jul,13-Jul,75.3
83024,14-Jul,14-Jul,80.6
83024,15-Jul,15-Jul,80.4
83024,16-Jul,16-Jul,80.5
83024,17-Jul,17-Jul,80.8
83024,18-Jul,18-Jul,82.9
83024,19-Jul,19-Jul,83.8
83024,20-Jul,20-Jul,82.1
83024,21-Jul,21-Jul,83
83024,22-Jul,22-Jul,85.5
83024,23-Jul,23-Jul,88.1
83024,24-Jul,24-Jul,87.9
83024,25-Jul,25-Jul,87.9
83024,26-Jul,26-Jul,91.2
83024,27-Jul,27-Jul,92.4
83024,28-Jul,28-Jul,92.9
83024,29-Jul,29-Jul,92.7
83024,30-Jul,30-Jul,89.7
83024,31-Jul,31-Jul,90.5
83024,1-Aug,1-Aug,90
83024,2-Aug,2-Aug,91.9
83024,3-Aug,3-Aug,94
83024,4-Aug,4-Aug,95.7
83024,5-Aug,5-Aug,94.5
83024,6-Aug,6-Aug,96.1
83024,7-Aug,7-Aug,97
83024,8-Aug,8-Aug,99.9
83024,9-Aug,9-Aug,101.6
83024,10-Aug,10-Aug,101.9
83024,11-Aug,11-Aug,103.9
83024,12-Aug,12-Aug,105.2
83024,13-Aug,13-Aug,107.8
83024,14-Aug,14-Aug,107
83024,15-Aug,15-Aug,108.9
83024,16-Aug,16-Aug,108.1
83024,17-Aug,17-Aug,106.9
83024,18-Aug,18-Aug,108.7
83024,19-Aug,19-Aug,106.6
83024,20-Aug,20-Aug,108.5
83024,21-Aug,21-Aug,111
83024,22-Aug,22-Aug,111
83024,23-Aug,23-Aug,111.6
83024,24-Aug,24-Aug,108.8
83024,25-Aug,25-Aug,109
83024,26-Aug,26-Aug,114
83024,27-Aug,27-Aug,113.9
83024,28-Aug,28-Aug,111.9
83024,29-Aug,29-Aug,111.2
83024,30-Aug,30-Aug,107.4
83024,31-Aug,31-Aug,107.8
83024,1-Sep,1-Sep,106.1
83024,2-Sep,2-Sep,105
83024,3-Sep,3-Sep,102.8
83024,4-Sep,4-Sep,100.5
83024,5-Sep,5-Sep,96.8
83024,6-Sep,6-Sep,96.2
83024,7-Sep,7-Sep,95.1
83024,8-Sep,8-Sep,94.7
83024,9-Sep,9-Sep,93.5
83024,10-Sep,10-Sep,89.6
83024,11-Sep,11-Sep,88
83024,12-Sep,12-Sep,87.8
