,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),date
1620,71075,2014,6,9,3.4,-1.8,6.6,2014-06-09
1621,71075,2014,6,10,8.1,-5.0,3.8,2014-06-10
1622,71075,2014,6,11,13.4,-5.1,0.0,2014-06-11
1623,71075,2014,6,12,8.2,-0.6,0.0,2014-06-12
1624,71075,2014,6,13,4.7,2.1,0.0,2014-06-13
1625,71075,2014,6,14,3.9,-0.4,14.0,2014-06-14
1626,71075,2014,6,15,2.6,-0.3,37.6,2014-06-15
1627,71075,2014,6,16,1.5,-3.3,0.4,2014-06-16
1628,71075,2014,6,17,6.1,-1.7,13.2,2014-06-17
1629,71075,2014,6,18,8.8,-3.0,0.0,2014-06-18
1630,71075,2014,6,19,5.8,-3.8,0.0,2014-06-19
1631,71075,2014,6,20,2.7,1.6,0.0,2014-06-20
1632,71075,2014,6,21,3.9,0.2,0.0,2014-06-21
1633,71075,2014,6,22,8.0,-3.0,0.2,2014-06-22
1634,71075,2014,6,23,2.4,-1.6,0.0,2014-06-23
1635,71075,2014,6,24,-0.3,-5.0,54.0,2014-06-24
1636,71075,2014,6,25,1.4,-4.1,49.4,2014-06-25
1637,71075,2014,6,26,1.4,-1.3,66.8,2014-06-26
1638,71075,2014,6,27,1.8,-0.5,5.6,2014-06-27
1639,71075,2014,6,28,0.4,-1.2,6.8,2014-06-28
1640,71075,2014,6,29,-0.9,-3.5,38.0,2014-06-29
1641,71075,2014,6,30,0.8,-5.2,26.8,2014-06-30
1642,71075,2014,7,1,4.1,-4.0,0.4,2014-07-01
1643,71075,2014,7,2,6.6,-2.8,0.8,2014-07-02
1644,71075,2014,7,3,7.0,-1.4,0.0,2014-07-03
1645,71075,2014,7,4,0.5,-1.1,0.0,2014-07-04
1646,71075,2014,7,5,0.1,-1.5,10.4,2014-07-05
1647,71075,2014,7,6,1.5,-1.2,15.4,2014-07-06
1648,71075,2014,7,7,4.5,-2.5,0.4,2014-07-07
1649,71075,2014,7,8,1.5,-3.0,0.0,2014-07-08
1650,71075,2014,7,9,-0.9,-3.3,0.2,2014-07-09
1651,71075,2014,7,10,0.1,-3.9,25.4,2014-07-10
1652,71075,2014,7,11,0.5,-3.6,2.8,2014-07-11
1653,71075,2014,7,12,0.1,-2.7,5.8,2014-07-12
1654,71075,2014,7,13,2.5,-7.3,4.4,2014-07-13
1655,71075,2014,7,14,5.8,-8.0,0.0,2014-07-14
1656,71075,2014,7,15,1.7,-3.0,0.0,2014-07-15
1657,71075,2014,7,16,0.3,-0.2,14.4,2014-07-16
1658,71075,2014,7,17,-0.7,-1.1,16.6,2014-07-17
1659,71075,2014,7,18,-0.6,-5.9,20.4,2014-07-18
1660,71075,2014,7,19,0.9,-6.3,0.0,2014-07-19
1661,71075,2014,7,20,5.1,-6.0,0.0,2014-07-20
1662,71075,2014,7,21,5.5,-8.4,0.0,2014-07-21
1663,71075,2014,7,22,6.8,-7.5,0.0,2014-07-22
1664,71075,2014,7,23,8.3,-8.2,0.0,2014-07-23
1665,71075,2014,7,24,3.5,-6.4,0.0,2014-07-24
1666,71075,2014,7,25,3.4,1.0,2.0,2014-07-25
1667,71075,2014,7,26,2.4,0.4,1.6,2014-07-26
1668,71075,2014,7,27,5.7,-1.4,1.4,2014-07-27
1669,71075,2014,7,28,3.7,-1.5,0.0,2014-07-28
1670,71075,2014,7,29,3.0,0.5,0.0,2014-07-29
1671,71075,2014,7,30,3.3,1.1,16.2,2014-07-30
1672,71075,2014,7,31,5.1,2.3,13.6,2014-07-31
1673,71075,2014,8,1,-3.9,-6.2,17.0,2014-08-01
1674,71075,2014,8,2,-0.5,-8.8,11.4,2014-08-02
1675,71075,2014,8,3,1.7,-13.0,0.0,2014-08-03
1676,71075,2014,8,4,2.8,-11.2,0.0,2014-08-04
1677,71075,2014,8,5,7.1,-7.9,0.0,2014-08-05
1678,71075,2014,8,6,6.3,-5.5,0.0,2014-08-06
1679,71075,2014,8,7,5.8,-5.2,0.0,2014-08-07
1680,71075,2014,8,8,7.0,-4.1,0.0,2014-08-08
1681,71075,2014,8,9,7.1,-3.5,0.0,2014-08-09
1682,71075,2014,8,10,0.3,-1.4,2.6,2014-08-10
1683,71075,2014,8,11,-1.6,-7.5,3.4,2014-08-11
1684,71075,2014,8,12,4.1,-11.3,0.0,2014-08-12
1685,71075,2014,8,13,4.1,-12.2,0.0,2014-08-13
1686,71075,2014,8,14,7.1,-7.5,0.0,2014-08-14
1687,71075,2014,8,15,7.5,-7.8,0.0,2014-08-15
1688,71075,2014,8,16,5.5,-6.7,0.0,2014-08-16
1689,71075,2014,8,17,1.6,-2.7,7.4,2014-08-17
1690,71075,2014,8,18,2.1,-0.2,57.6,2014-08-18
1691,71075,2014,8,19,3.7,-0.1,9.0,2014-08-19
1692,71075,2014,8,20,6.7,-7.2,1.2,2014-08-20
1693,71075,2014,8,21,4.8,-7.7,0.0,2014-08-21
1694,71075,2014,8,22,8.4,-3.4,0.6,2014-08-22
1695,71075,2014,8,23,8.7,-4.7,0.0,2014-08-23
1696,71075,2014,8,24,5.0,0.5,0.0,2014-08-24
1697,71075,2014,8,25,4.5,-3.5,6.8,2014-08-25
1698,71075,2014,8,26,2.8,-0.3,16.0,2014-08-26
1699,71075,2014,8,27,3.9,-2.3,9.6,2014-08-27
1700,71075,2014,8,28,9.2,-7.4,0.0,2014-08-28
1701,71075,2014,8,29,7.5,-2.8,0.0,2014-08-29
1702,71075,2014,8,30,9.6,-4.7,0.0,2014-08-30
1703,71075,2014,8,31,8.2,-4.8,0.0,2014-08-31
1704,71075,2014,9,1,7.1,-1.1,0.0,2014-09-01
1705,71075,2014,9,2,1.4,-2.3,21.0,2014-09-02
1706,71075,2014,9,3,0.9,-6.4,10.0,2014-09-03
1707,71075,2014,9,4,2.4,-6.1,0.0,2014-09-04
1708,71075,2014,9,5,4.4,-2.0,1.8,2014-09-05
1709,71075,2014,9,6,6.8,-6.1,2.4,2014-09-06
1710,71075,2014,9,7,9.9,-6.1,0.0,2014-09-07
1711,71075,2014,9,8,7.3,-2.0,0.0,2014-09-08
1712,71075,2014,9,9,7.4,3.4,0.0,2014-09-09
1713,71075,2014,9,10,4.1,1.9,48.8,2014-09-10
1714,71075,2014,9,11,3.3,0.9,0.0,2014-09-11
1715,71075,2014,9,12,7.5,-2.6,0.2,2014-09-12
1716,71075,2014,9,13,10.0,-4.5,0.0,2014-09-13
1717,71075,2014,9,14,8.6,-1.6,0.0,2014-09-14
1718,71075,2014,9,15,7.5,-2.8,0.0,2014-09-15
1719,71075,2014,9,16,7.2,1.9,2.2,2014-09-16
1720,71075,2014,9,17,1.1,-0.8,11.0,2014-09-17
1721,71075,2014,9,18,2.6,-3.8,6.0,2014-09-18
1722,71075,2014,9,19,5.9,-5.1,0.0,2014-09-19
1723,71075,2014,9,20,9.3,-2.1,0.0,2014-09-20
1724,71075,2014,9,21,8.8,-2.8,0.0,2014-09-21
1725,71075,2014,9,22,11.6,-3.6,0.0,2014-09-22
1985,71075,2015,6,9,3.2,0.2,0.4,2015-06-09
1986,71075,2015,6,10,8.4,-6.8,1.2,2015-06-10
1987,71075,2015,6,11,13.4,-5.3,0.0,2015-06-11
1988,71075,2015,6,12,14.3,-3.0,0.0,2015-06-12
1989,71075,2015,6,13,13.2,-2.4,0.0,2015-06-13
1990,71075,2015,6,14,10.5,-3.5,0.0,2015-06-14
1991,71075,2015,6,15,6.2,-4.2,0.0,2015-06-15
1992,71075,2015,6,16,6.5,2.3,9.8,2015-06-16
1993,71075,2015,6,17,4.6,3.8,6.0,2015-06-17
1994,71075,2015,6,18,2.2,0.4,53.2,2015-06-18
1995,71075,2015,6,19,0.7,-3.5,17.8,2015-06-19
1996,71075,2015,6,20,3.6,-9.2,0.4,2015-06-20
1997,71075,2015,6,21,4.6,-7.0,0.0,2015-06-21
1998,71075,2015,6,22,4.5,-2.7,0.0,2015-06-22
1999,71075,2015,6,23,4.6,-0.7,0.0,2015-06-23
2000,71075,2015,6,24,5.1,0.9,0.0,2015-06-24
2001,71075,2015,6,25,8.0,-0.5,0.0,2015-06-25
2002,71075,2015,6,26,10.4,-6.1,0.0,2015-06-26
2003,71075,2015,6,27,12.5,-5.9,0.0,2015-06-27
2004,71075,2015,6,28,11.4,-4.4,0.0,2015-06-28
2005,71075,2015,6,29,11.1,-6.3,0.0,2015-06-29
2006,71075,2015,6,30,5.8,-6.8,0.0,2015-06-30
2007,71075,2015,7,1,6.6,-8.9,0.0,2015-07-01
2008,71075,2015,7,2,-0.8,-4.3,0.4,2015-07-02
2009,71075,2015,7,3,4.4,-8.9,6.4,2015-07-03
2010,71075,2015,7,4,6.2,-6.8,0.0,2015-07-04
2011,71075,2015,7,5,4.6,-3.7,0.0,2015-07-05
2012,71075,2015,7,6,5.7,-7.7,0.0,2015-07-06
2013,71075,2015,7,7,3.8,-3.1,0.0,2015-07-07
2014,71075,2015,7,8,5.9,-8.0,0.0,2015-07-08
2015,71075,2015,7,9,4.0,-9.1,0.0,2015-07-09
2016,71075,2015,7,10,1.3,-1.5,8.4,2015-07-10
2017,71075,2015,7,11,2.3,-1.3,10.4,2015-07-11
2018,71075,2015,7,12,0.3,-4.0,22.2,2015-07-12
2019,71075,2015,7,13,0.9,-4.5,14.4,2015-07-13
2020,71075,2015,7,14,0.5,-3.5,7.4,2015-07-14
2021,71075,2015,7,15,0.8,-5.6,1.0,2015-07-15
2022,71075,2015,7,16,-0.8,-3.0,10.8,2015-07-16
2023,71075,2015,7,17,-1.2,-5.2,13.0,2015-07-17
2024,71075,2015,7,18,0.8,-6.1,1.2,2015-07-18
2025,71075,2015,7,19,2.0,-10.6,0.2,2015-07-19
2026,71075,2015,7,20,3.3,-9.4,0.0,2015-07-20
2027,71075,2015,7,21,2.6,-6.6,0.0,2015-07-21
2028,71075,2015,7,22,1.6,-0.2,10.4,2015-07-22
2029,71075,2015,7,23,2.3,-1.0,14.8,2015-07-23
2030,71075,2015,7,24,2.3,-0.8,0.2,2015-07-24
2031,71075,2015,7,25,0.3,-2.4,38.6,2015-07-25
2032,71075,2015,7,26,0.1,-2.2,19.4,2015-07-26
2033,71075,2015,7,27,-0.4,-5.9,19.2,2015-07-27
2034,71075,2015,7,28,2.2,-4.4,0.0,2015-07-28
2035,71075,2015,7,29,4.7,-7.8,0.0,2015-07-29
2036,71075,2015,7,30,0.8,-3.3,0.0,2015-07-30
2037,71075,2015,7,31,2.3,-2.6,4.2,2015-07-31
2038,71075,2015,8,1,2.5,-1.4,2.0,2015-08-01
2039,71075,2015,8,2,1.9,-0.1,51.8,2015-08-02
2040,71075,2015,8,3,-1.7,-3.5,32.6,2015-08-03
2041,71075,2015,8,4,-3.0,-12.8,6.0,2015-08-04
2042,71075,2015,8,5,-1.7,-7.0,5.8,2015-08-05
2043,71075,2015,8,6,0.5,-5.1,9.0,2015-08-06
2044,71075,2015,8,7,4.5,-6.5,0.0,2015-08-07
2045,71075,2015,8,8,5.3,-6.5,0.0,2015-08-08
2046,71075,2015,8,9,1.0,-8.3,0.0,2015-08-09
2047,71075,2015,8,10,0.6,-3.0,0.0,2015-08-10
2048,71075,2015,8,11,0.3,-2.4,3.4,2015-08-11
2049,71075,2015,8,12,1.5,-2.4,0.0,2015-08-12
2050,71075,2015,8,13,3.1,-4.6,2.2,2015-08-13
2051,71075,2015,8,14,7.3,-2.0,0.0,2015-08-14
2052,71075,2015,8,15,8.1,-6.6,0.0,2015-08-15
2053,71075,2015,8,16,2.2,-1.9,0.0,2015-08-16
2054,71075,2015,8,17,0.4,-1.7,5.2,2015-08-17
2055,71075,2015,8,18,4.6,-7.3,10.6,2015-08-18
2056,71075,2015,8,19,7.4,-10.0,0.0,2015-08-19
2057,71075,2015,8,20,6.5,-5.8,0.0,2015-08-20
2058,71075,2015,8,21,7.3,-1.8,0.0,2015-08-21
2059,71075,2015,8,22,7.0,3.1,9.6,2015-08-22
2060,71075,2015,8,23,5.5,1.5,1.8,2015-08-23
2061,71075,2015,8,24,0.8,-0.1,1.2,2015-08-24
2062,71075,2015,8,25,0.1,-2.1,54.8,2015-08-25
2063,71075,2015,8,26,3.0,-1.8,20.0,2015-08-26
2064,71075,2015,8,27,3.9,0.0,10.2,2015-08-27
2065,71075,2015,8,28,4.9,-0.5,5.0,2015-08-28
2066,71075,2015,8,29,1.2,-3.2,2.8,2015-08-29
2067,71075,2015,8,30,4.4,-2.4,0.0,2015-08-30
2068,71075,2015,8,31,4.2,-8.0,0.0,2015-08-31
2069,71075,2015,9,1,6.2,-4.2,0.0,2015-09-01
2070,71075,2015,9,2,8.5,-5.2,0.0,2015-09-02
2071,71075,2015,9,3,3.3,-0.9,19.8,2015-09-03
2072,71075,2015,9,4,4.4,-3.4,9.2,2015-09-04
2073,71075,2015,9,5,7.2,-4.2,0.0,2015-09-05
2074,71075,2015,9,6,5.3,-6.2,0.0,2015-09-06
2075,71075,2015,9,7,-0.5,-1.3,6.6,2015-09-07
2076,71075,2015,9,8,4.5,-3.5,5.2,2015-09-08
2077,71075,2015,9,9,6.7,-1.5,0.6,2015-09-09
2078,71075,2015,9,10,7.5,-3.5,0.0,2015-09-10
2079,71075,2015,9,11,7.9,-3.4,0.0,2015-09-11
2080,71075,2015,9,12,10.1,2.4,0.0,2015-09-12
2081,71075,2015,9,13,13.2,-1.2,0.0,2015-09-13
2082,71075,2015,9,14,9.2,0.8,0.0,2015-09-14
2083,71075,2015,9,15,4.7,4.3,9.2,2015-09-15
2084,71075,2015,9,16,5.3,-2.8,1.4,2015-09-16
2085,71075,2015,9,17,7.8,-2.6,0.0,2015-09-17
2086,71075,2015,9,18,5.8,-7.1,0.0,2015-09-18
2087,71075,2015,9,19,9.2,-3.7,0.0,2015-09-19
2088,71075,2015,9,20,8.0,-2.7,0.0,2015-09-20
2089,71075,2015,9,21,6.7,2.7,0.0,2015-09-21
2090,71075,2015,9,22,2.2,-2.6,6.2,2015-09-22
2351,71075,2016,6,9,2.3,1.2,48.8,2016-06-09
2352,71075,2016,6,10,2.2,1.0,41.2,2016-06-10
2353,71075,2016,6,11,0.7,-1.1,4.0,2016-06-11
2354,71075,2016,6,12,5.7,-8.4,3.2,2016-06-12
2355,71075,2016,6,13,8.9,-5.7,0.0,2016-06-13
2356,71075,2016,6,14,9.8,-1.2,0.0,2016-06-14
2357,71075,2016,6,15,10.3,-5.6,0.0,2016-06-15
2358,71075,2016,6,16,6.4,1.7,0.0,2016-06-16
2359,71075,2016,6,17,4.3,2.2,4.4,2016-06-17
2360,71075,2016,6,18,5.5,0.7,16.0,2016-06-18
2361,71075,2016,6,19,4.7,2.0,0.6,2016-06-19
2362,71075,2016,6,20,6.7,2.2,54.0,2016-06-20
2363,71075,2016,6,21,0.6,-0.3,9.0,2016-06-21
2364,71075,2016,6,22,0.8,-1.7,43.4,2016-06-22
2365,71075,2016,6,23,0.8,-1.6,8.2,2016-06-23
2366,71075,2016,6,24,-2.4,-3.2,38.6,2016-06-24
2367,71075,2016,6,25,-2.1,-6.8,13.0,2016-06-25
2368,71075,2016,6,26,0.9,-8.4,0.0,2016-06-26
2369,71075,2016,6,27,2.8,-6.8,1.6,2016-06-27
2370,71075,2016,6,28,4.5,-5.2,0.0,2016-06-28
2371,71075,2016,6,29,4.7,-7.2,0.0,2016-06-29
2372,71075,2016,6,30,-0.3,-2.6,0.0,2016-06-30
2373,71075,2016,7,1,1.3,-4.3,14.4,2016-07-01
2374,71075,2016,7,2,6.1,-2.8,0.4,2016-07-02
2375,71075,2016,7,3,7.6,-2.3,0.0,2016-07-03
2376,71075,2016,7,4,7.4,-1.7,0.0,2016-07-04
2377,71075,2016,7,5,1.8,-2.2,0.0,2016-07-05
2378,71075,2016,7,6,4.0,-1.2,19.8,2016-07-06
2379,71075,2016,7,7,2.3,0.6,27.4,2016-07-07
2380,71075,2016,7,8,3.5,-1.6,2.4,2016-07-08
2381,71075,2016,7,9,5.2,-0.9,4.6,2016-07-09
2382,71075,2016,7,10,2.4,-0.1,0.0,2016-07-10
2383,71075,2016,7,11,2.6,0.2,32.0,2016-07-11
2384,71075,2016,7,12,-0.1,-0.8,21.4,2016-07-12
2385,71075,2016,7,13,-3.9,-7.2,21.6,2016-07-13
2386,71075,2016,7,14,,-7.0,4.2,2016-07-14
2387,71075,2016,7,15,,-4.4,,2016-07-15
2388,71075,2016,7,16,10.3,-3.9,,2016-07-16
2389,71075,2016,7,17,8.3,-3.5,0.0,2016-07-17
2390,71075,2016,7,18,7.7,1.4,0.0,2016-07-18
2391,71075,2016,7,19,7.9,2.8,21.6,2016-07-19
2392,71075,2016,7,20,7.2,1.0,0.0,2016-07-20
2393,71075,2016,7,21,7.6,-0.1,0.0,2016-07-21
2394,71075,2016,7,22,8.1,3.3,30.4,2016-07-22
2395,71075,2016,7,23,-1.8,-2.9,148.0,2016-07-23
2396,71075,2016,7,24,-2.3,-5.7,7.6,2016-07-24
2397,71075,2016,7,25,-1.1,-5.1,16.6,2016-07-25
2398,71075,2016,7,26,-0.9,-5.0,27.0,2016-07-26
2399,71075,2016,7,27,1.1,-4.5,14.2,2016-07-27
2400,71075,2016,7,28,4.8,-4.0,5.8,2016-07-28
2401,71075,2016,7,29,1.4,-3.0,0.0,2016-07-29
2402,71075,2016,7,30,4.4,-5.2,0.0,2016-07-30
2403,71075,2016,7,31,2.6,-0.5,1.0,2016-07-31
2404,71075,2016,8,1,1.4,0.7,2.8,2016-08-01
2405,71075,2016,8,2,-0.6,-3.9,20.6,2016-08-02
2406,71075,2016,8,3,0.9,-5.4,0.0,2016-08-03
2407,71075,2016,8,4,-0.2,-3.2,3.2,2016-08-04
2408,71075,2016,8,5,3.3,-8.6,0.4,2016-08-05
2409,71075,2016,8,6,2.6,-6.9,0.0,2016-08-06
2410,71075,2016,8,7,3.1,-6.5,0.0,2016-08-07
2411,71075,2016,8,8,5.2,-6.6,0.0,2016-08-08
2412,71075,2016,8,9,7.1,-0.5,0.0,2016-08-09
2413,71075,2016,8,10,1.6,0.1,27.6,2016-08-10
2414,71075,2016,8,11,3.0,-3.1,2.6,2016-08-11
2415,71075,2016,8,12,1.7,-7.4,0.0,2016-08-12
2416,71075,2016,8,13,2.4,-3.7,0.4,2016-08-13
2417,71075,2016,8,14,7.7,-4.0,0.0,2016-08-14
2418,71075,2016,8,15,9.6,-2.9,0.0,2016-08-15
2419,71075,2016,8,16,4.5,0.7,0.0,2016-08-16
2420,71075,2016,8,17,4.5,1.4,4.4,2016-08-17
2421,71075,2016,8,18,5.6,1.4,5.8,2016-08-18
2422,71075,2016,8,19,6.7,2.6,0.0,2016-08-19
2423,71075,2016,8,20,-0.2,-4.2,25.0,2016-08-20
2424,71075,2016,8,21,0.8,-3.6,12.8,2016-08-21
2425,71075,2016,8,22,1.7,-0.9,6.2,2016-08-22
