,Year,Week,Resort,Visitors,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
0,2014,1,Mt. Baw Baw,555,5.022448979591837,-0.33877551020408164,236.2
1,2014,2,Mt. Baw Baw,804,4.683673469387755,-0.4408163265306122,125.39999999999999
2,2014,3,Mt. Baw Baw,993,0.3081632653061224,-2.5530612244897957,634.1999999999999
3,2014,4,Mt. Baw Baw,2976,1.236734693877551,-2.363265306122449,301.2
4,2014,5,Mt. Baw Baw,11112,-0.2,-3.516326530612245,257.0
5,2014,6,Mt. Baw Baw,13381,0.14897959183673468,-3.6857142857142855,244.0
6,2014,7,Mt. Baw Baw,8832,3.0367346938775515,-1.9428571428571428,104.2
7,2014,8,Mt. Baw Baw,9347,0.8142857142857143,-2.9562500000000003,379.0
8,2014,9,Mt. Baw Baw,10071,2.6367346938775507,-3.26734693877551,25.8
9,2014,10,Mt. Baw Baw,11071,3.3877551020408165,-4.757142857142857,46.4
10,2014,11,Mt. Baw Baw,10079,4.763265306122449,-1.2224489795918367,162.6
11,2014,12,Mt. Baw Baw,7635,6.771428571428571,-0.4387755102040816,74.4
12,2014,13,Mt. Baw Baw,4681,4.161224489795918,-2.522448979591837,153.0
13,2014,14,Mt. Baw Baw,1904,5.793877551020408,0.05102040816326534,326.2
14,2014,15,Mt. Baw Baw,0,8.028571428571428,0.5571428571428572,0.0
15,2015,1,Mt. Baw Baw,3185,7.557777777777778,-0.6391304347826087,67.8
16,2015,2,Mt. Baw Baw,2058,3.2190476190476187,-1.576190476190476,241.0
17,2015,3,Mt. Baw Baw,1745,7.2714285714285705,-0.5142857142857143,29.6
18,2015,4,Mt. Baw Baw,2751,1.9976190476190478,-4.15,55.6
19,2015,5,Mt. Baw Baw,6748,1.2666666666666668,-3.1891304347826086,313.6
20,2015,6,Mt. Baw Baw,8269,-0.5857142857142857,-5.210204081632654,184.4
21,2015,7,Mt. Baw Baw,8219,0.4979591836734694,-2.3591836734693876,330.2
22,2015,8,Mt. Baw Baw,8600,0.40816326530612246,-3.4591836734693877,324.6
23,2015,9,Mt. Baw Baw,8932,-0.236734693877551,-5.087755102040816,136.8
24,2015,10,Mt. Baw Baw,10429,1.120408163265306,-2.6714285714285717,101.6
25,2015,11,Mt. Baw Baw,10927,3.83265306122449,-1.9938775510204083,123.6
26,2015,12,Mt. Baw Baw,9027,2.210204081632653,-2.816326530612245,337.2
27,2015,13,Mt. Baw Baw,6236,3.9204545454545454,-2.062222222222222,105.6
28,2015,14,Mt. Baw Baw,4387,8.083333333333334,0.028571428571428553,74.2
29,2015,15,Mt. Baw Baw,2247,3.516666666666667,2.5666666666666664,60.6
30,2016,1,Mt. Baw Baw,1154,5.130612244897959,-0.9666666666666667,477.0
31,2016,2,Mt. Baw Baw,1298,3.659183673469388,0.6959183673469388,558.6
32,2016,3,Mt. Baw Baw,2306,-0.6061224489795918,-4.573469387755102,206.4
33,2016,4,Mt. Baw Baw,8796,1.3551020408163266,-2.4,192.2
34,2016,5,Mt. Baw Baw,7976,1.0816326530612246,-1.3387755102040815,358.0
35,2016,6,Mt. Baw Baw,6614,5.276595744680851,-1.279591836734694,131.0
36,2016,7,Mt. Baw Baw,5267,0.9346938775510205,-2.7918367346938777,788.8
37,2016,8,Mt. Baw Baw,6394,0.9152173913043479,-2.3425531914893614,252.6
38,2016,9,Mt. Baw Baw,6676,2.2452380952380953,-3.1666666666666665,128.4
39,2016,10,Mt. Baw Baw,5593,3.527272727272727,-1.788095238095238,59.4
40,2016,11,Mt. Baw Baw,3979,1.9124999999999999,-1.926530612244898,333.2
41,2016,12,Mt. Baw Baw,3909,2.722448979591837,-2.722448979591837,359.59999999999997
42,2016,13,Mt. Baw Baw,1373,7.248936170212766,0.5693877551020409,300.4
43,2016,14,Mt. Baw Baw,0,5.740816326530613,1.383673469387755,413.59999999999997
44,2016,15,Mt. Baw Baw,0,1.1285714285714286,-2.4166666666666665,91.4
45,2017,1,Mt. Baw Baw,3569,7.295918367346939,0.025000000000000005,9.4
46,2017,2,Mt. Baw Baw,798,7.191836734693877,-0.046938775510204096,4.199999999999999
47,2017,3,Mt. Baw Baw,846,0.636734693877551,-3.353061224489796,45.2
48,2017,4,Mt. Baw Baw,3486,1.9040816326530612,-3.30625,323.2
49,2017,5,Mt. Baw Baw,5981,-0.13673469387755102,-4.0,89.2
50,2017,6,Mt. Baw Baw,9132,-0.04489795918367345,-3.595833333333333,218.20000000000002
51,2017,7,Mt. Baw Baw,7286,1.0040816326530613,-3.4571428571428573,171.2
52,2017,8,Mt. Baw Baw,5799,2.6795918367346943,-2.787755102040816,100.6
53,2017,9,Mt. Baw Baw,5331,0.5875,-2.787755102040816,354.4
54,2017,10,Mt. Baw Baw,6311,2.276595744680851,-0.5244897959183673,702.4
55,2017,11,Mt. Baw Baw,5884,-0.12448979591836734,-4.6387755102040815,244.2
56,2017,12,Mt. Baw Baw,4921,0.9530612244897958,-5.904081632653061,95.4
57,2017,13,Mt. Baw Baw,4086,1.8326530612244898,-3.183673469387755,202.4
58,2017,14,Mt. Baw Baw,5565,3.0979591836734697,-1.9122448979591837,248.0
59,2017,15,Mt. Baw Baw,3409,1.3142857142857143,-4.714285714285714,60.4
60,2018,1,Mt. Baw Baw,2753,2.1061224489795918,-1.3102040816326532,499.4
61,2018,2,Mt. Baw Baw,2102,0.45208333333333334,-3.86875,450.2
62,2018,3,Mt. Baw Baw,5768,2.693877551020408,-2.9877551020408166,37.4
63,2018,4,Mt. Baw Baw,7058,3.0408163265306123,-1.9437499999999999,110.6
64,2018,5,Mt. Baw Baw,11141,0.9510204081632654,-4.146938775510204,282.59999999999997
65,2018,6,Mt. Baw Baw,18031,0.74375,-4.377551020408164,97.4
66,2018,7,Mt. Baw Baw,8803,0.5224489795918368,-4.002083333333333,122.8
67,2018,8,Mt. Baw Baw,7966,1.9416666666666667,-2.4816326530612245,242.79999999999998
68,2018,9,Mt. Baw Baw,8950,1.2232558139534884,-3.2097560975609754,367.4
69,2018,10,Mt. Baw Baw,7621,0.6510204081632653,-3.0500000000000003,246.0
70,2018,11,Mt. Baw Baw,6837,-0.4489795918367347,-4.7239130434782615,242.2
71,2018,12,Mt. Baw Baw,10011,2.079591836734694,-4.622916666666667,45.800000000000004
72,2018,13,Mt. Baw Baw,6751,3.0085106382978726,-2.6688888888888886,270.6
73,2018,14,Mt. Baw Baw,5793,7.420408163265306,0.032653061224489736,12.0
74,2018,15,Mt. Baw Baw,4064,5.5,3.1285714285714286,0.0
75,2019,1,Mt. Baw Baw,6393,4.784210526315789,1.3439024390243903,488.0
76,2019,2,Mt. Baw Baw,4311,1.1162790697674418,-4.286046511627907,83.0
77,2019,3,Mt. Baw Baw,5341,5.446938775510204,-1.6204081632653062,33.6
78,2019,4,Mt. Baw Baw,6645,3.725,-2.179591836734694,201.6
79,2019,5,Mt. Baw Baw,10595,0.9041666666666667,-2.0020408163265304,528.0
80,2019,6,Mt. Baw Baw,9056,1.0,-3.577083333333333,266.0
81,2019,7,Mt. Baw Baw,9515,2.989795918367347,-2.0541666666666667,97.0
82,2019,8,Mt. Baw Baw,10134,4.333333333333333,-2.257142857142857,52.0
83,2019,9,Mt. Baw Baw,10039,0.7693877551020407,-3.6795918367346943,256.2
84,2019,10,Mt. Baw Baw,4004,1.3265306122448979,-4.069387755102041,219.6
85,2019,11,Mt. Baw Baw,12128,2.7591836734693875,-3.4693877551020407,321.0
86,2019,12,Mt. Baw Baw,10255,3.589795918367347,-4.2326530612244895,73.6
87,2019,13,Mt. Baw Baw,8502,5.457142857142856,-0.03750000000000001,212.2
88,2019,14,Mt. Baw Baw,6878,4.972916666666666,-2.4551020408163264,198.0
89,2019,15,Mt. Baw Baw,6089,7.614285714285714,1.9142857142857141,3.2
90,2020,1,Mt. Baw Baw,1074,5.057142857142857,-0.5625,320.2
91,2020,2,Mt. Baw Baw,544,3.302380952380952,-0.3142857142857143,442.4
92,2020,3,Mt. Baw Baw,603,3.0023809523809524,-2.657142857142857,137.2
93,2020,4,Mt. Baw Baw,2168,1.9725000000000001,-2.5341463414634147,265.4
94,2020,5,Mt. Baw Baw,4055,2.8454545454545457,-1.2733333333333332,230.79999999999998
95,2020,6,Mt. Baw Baw,2945,2.4816326530612245,-2.68125,148.4
