,Year,Week,Resort,Visitors
0,2014,1,Mt. Baw Baw,555
1,2014,2,Mt. Baw Baw,804
2,2014,3,Mt. Baw Baw,993
3,2014,4,Mt. Baw Baw,2976
4,2014,5,Mt. Baw Baw,11112
5,2014,6,Mt. Baw Baw,13381
6,2014,7,Mt. Baw Baw,8832
7,2014,8,Mt. Baw Baw,9347
8,2014,9,Mt. Baw Baw,10071
9,2014,10,Mt. Baw Baw,11071
10,2014,11,Mt. Baw Baw,10079
11,2014,12,Mt. Baw Baw,7635
12,2014,13,Mt. Baw Baw,4681
13,2014,14,Mt. Baw Baw,1904
14,2014,15,Mt. Baw Baw,0
15,2015,1,Mt. Baw Baw,3185
16,2015,2,Mt. Baw Baw,2058
17,2015,3,Mt. Baw Baw,1745
18,2015,4,Mt. Baw Baw,2751
19,2015,5,Mt. Baw Baw,6748
20,2015,6,Mt. Baw Baw,8269
21,2015,7,Mt. Baw Baw,8219
22,2015,8,Mt. Baw Baw,8600
23,2015,9,Mt. Baw Baw,8932
24,2015,10,Mt. Baw Baw,10429
25,2015,11,Mt. Baw Baw,10927
26,2015,12,Mt. Baw Baw,9027
27,2015,13,Mt. Baw Baw,6236
28,2015,14,Mt. Baw Baw,4387
29,2015,15,Mt. Baw Baw,2247
30,2016,1,Mt. Baw Baw,1154
31,2016,2,Mt. Baw Baw,1298
32,2016,3,Mt. Baw Baw,2306
33,2016,4,Mt. Baw Baw,8796
34,2016,5,Mt. Baw Baw,7976
35,2016,6,Mt. Baw Baw,6614
36,2016,7,Mt. Baw Baw,5267
37,2016,8,Mt. Baw Baw,6394
38,2016,9,Mt. Baw Baw,6676
39,2016,10,Mt. Baw Baw,5593
40,2016,11,Mt. Baw Baw,3979
41,2016,12,Mt. Baw Baw,3909
42,2016,13,Mt. Baw Baw,1373
43,2016,14,Mt. Baw Baw,0
44,2016,15,Mt. Baw Baw,0
45,2017,1,Mt. Baw Baw,3569
46,2017,2,Mt. Baw Baw,798
47,2017,3,Mt. Baw Baw,846
48,2017,4,Mt. Baw Baw,3486
49,2017,5,Mt. Baw Baw,5981
50,2017,6,Mt. Baw Baw,9132
51,2017,7,Mt. Baw Baw,7286
52,2017,8,Mt. Baw Baw,5799
53,2017,9,Mt. Baw Baw,5331
54,2017,10,Mt. Baw Baw,6311
55,2017,11,Mt. Baw Baw,5884
56,2017,12,Mt. Baw Baw,4921
57,2017,13,Mt. Baw Baw,4086
58,2017,14,Mt. Baw Baw,5565
59,2017,15,Mt. Baw Baw,3409
60,2018,1,Mt. Baw Baw,2753
61,2018,2,Mt. Baw Baw,2102
62,2018,3,Mt. Baw Baw,5768
63,2018,4,Mt. Baw Baw,7058
64,2018,5,Mt. Baw Baw,11141
65,2018,6,Mt. Baw Baw,18031
66,2018,7,Mt. Baw Baw,8803
67,2018,8,Mt. Baw Baw,7966
68,2018,9,Mt. Baw Baw,8950
69,2018,10,Mt. Baw Baw,7621
70,2018,11,Mt. Baw Baw,6837
71,2018,12,Mt. Baw Baw,10011
72,2018,13,Mt. Baw Baw,6751
73,2018,14,Mt. Baw Baw,5793
74,2018,15,Mt. Baw Baw,4064
75,2019,1,Mt. Baw Baw,6393
76,2019,2,Mt. Baw Baw,4311
77,2019,3,Mt. Baw Baw,5341
78,2019,4,Mt. Baw Baw,6645
79,2019,5,Mt. Baw Baw,10595
80,2019,6,Mt. Baw Baw,9056
81,2019,7,Mt. Baw Baw,9515
82,2019,8,Mt. Baw Baw,10134
83,2019,9,Mt. Baw Baw,10039
84,2019,10,Mt. Baw Baw,4004
85,2019,11,Mt. Baw Baw,12128
86,2019,12,Mt. Baw Baw,10255
87,2019,13,Mt. Baw Baw,8502
88,2019,14,Mt. Baw Baw,6878
89,2019,15,Mt. Baw Baw,6089
90,2020,1,Mt. Baw Baw,1074
91,2020,2,Mt. Baw Baw,544
92,2020,3,Mt. Baw Baw,603
93,2020,4,Mt. Baw Baw,2168
94,2020,5,Mt. Baw Baw,4055
95,2020,6,Mt. Baw Baw,2945
96,2020,7,Mt. Baw Baw,1149
97,2020,8,Mt. Baw Baw,941
